,Missing_count,% Missing
relation_traj_f,839,69.74231088944306
motherhealthindex_f,774,64.33915211970074
fatherfinancial_f,754,62.676641729010804
incomeindex_f,706,58.68661679135495
relationshipindex_f,647,53.78221113881961
motherfinancial_f,643,53.44970906068163
relationship_inlaw,637,52.95095594347464
fertility_vars_f,630,52.36907730673317
socialsupport_f,619,51.4546965918537
grandmothers_f,619,51.4546965918537
depression_traj_f,619,51.4546965918537
depression_traj_all_f,619,51.4546965918537
control,618,51.3715710723192
parentinputs_infancy_f,617,51.2884455527847
play_fa_1y,616,51.20532003325021
age_kid1,606,50.374064837905244
days_healthy,582,48.37905236907731
expend_food,510,42.394014962593516
infantdev_f,500,41.56275976724855
attrit,499,41.479634247714046
HAZ_12,495,41.14713216957606
infantdev_1y_f,495,41.14713216957606
WAZ_12,494,41.06400665004156
c_ht_1y,492,40.89775561097257
discussed,492,40.89775561097257
diarhea_1y_flip,491,40.81463009143807
infantdev_1y,491,40.81463009143807
ari_1y_flip,491,40.81463009143807
c_wt_1y,491,40.81463009143807
play_mo_1y,491,40.81463009143807
var599,491,40.81463009143807
ln_income_fa,484,40.23275145469659
c_ht_6m,468,38.90274314214464
infantdev_6m_f,468,38.90274314214464
HAZ_6,468,38.90274314214464
exclusivebf_6m,465,38.65336658354115
anybf_6m,465,38.65336658354115
infantdev_6m,464,38.57024106400665
diarhea_6m_flip,464,38.57024106400665
c_wt_6m,464,38.57024106400665
WAZ_6,464,38.57024106400665
ari_6m_flip,464,38.57024106400665
infantdev,463,38.48711554447215
ln_expend_educ,455,37.82211138819618
expend_educ,455,37.82211138819618
expend_med,452,37.57273482959268
income_hh,447,37.1571072319202
ln_income_fa_6m,435,36.15960099750624
ln_income_fa_1y,435,36.15960099750624
p_hat,419,34.82959268495428
doi0Xtreat,419,34.82959268495428
doi0,419,34.82959268495428
relationshipindex_1y_f,417,34.66334164588529
relationship_husb_1y,417,34.66334164588529
nonviolent_1y,417,34.66334164588529
var611,417,34.66334164588529
maritalscale_1y,417,34.66334164588529
pregnant_12m,413,34.330839567747304
grandmother_1y,412,34.2477140482128
gaf_1y_2,412,34.2477140482128
var620,412,34.2477140482128
var619,412,34.2477140482128
bdq_1y,412,34.2477140482128
hamd_1y,412,34.2477140482128
var621,412,34.2477140482128
relationship_inlaw_1y,412,34.2477140482128
var618,412,34.2477140482128
depindex_1y,412,34.2477140482128
ses_1y,412,34.2477140482128
depindex_1y_f,412,34.2477140482128
mspss_1y,412,34.2477140482128
relationshipindex_1y,412,34.2477140482128
depressed_1y,412,34.2477140482128
var416,409,33.99833748960931
occupation_fa_baseline,399,33.16708229426434
parentinputs_infancy,387,32.16957605985037
mspss_6m,385,32.00332502078138
bdq_6m,385,32.00332502078138
depindex_6m,385,32.00332502078138
ses_6m,385,32.00332502078138
depindex_6m_f,385,32.00332502078138
depressed_6m,385,32.00332502078138
hamd_6m,385,32.00332502078138
grandmother_6m,385,32.00332502078138
gaf_6m_2,385,32.00332502078138
empowered_6m,385,32.00332502078138
mo_wt_6m,382,31.75394846217789
motherfinancial_7y_f,353,29.343308395677475
ch_36,353,29.343308395677475
schoolqual_pca,353,29.343308395677475
nonviolent,344,28.595178719866997
mo_185,344,28.595178719866997
maritalscale,344,28.595178719866997
relationship_husb,344,28.595178719866997
cognindex_f,344,28.595178719866997
nodebt_7y,337,28.013300083125518
relationshipindex,334,27.763923524522028
g4a,331,27.514546965918534
ch_27,329,27.34829592684954
classroom,329,27.34829592684954
class_size,329,27.34829592684954
healthindex_f,329,27.34829592684954
ch_34,329,27.34829592684954
ch_33,329,27.34829592684954
ch_35,329,27.34829592684954
ch_32,329,27.34829592684954
ch_30,329,27.34829592684954
ch_31,329,27.34829592684954
ch_29,329,27.34829592684954
lrooms,329,27.34829592684954
lteachers,329,27.34829592684954
ch_28,329,27.34829592684954
income_mo,327,27.18204488778055
math,327,27.18204488778055
urdu,326,27.09891936824605
psi,326,27.09891936824605
private_sch,325,27.015793848711557
zhaz,324,26.932668329177055
zbmi2,324,26.932668329177055
childmort_f,322,26.766417290108063
expect_sch,322,26.766417290108063
no_kids_less1_dead,322,26.766417290108063
no_kids_1_5_dead,322,26.766417290108063
no_kids_over5_dead,321,26.683291770573565
vci,321,26.683291770573565
vsi,320,26.60016625103907
fsiq,320,26.60016625103907
c_age_int,319,26.517040731504572
ideal_no_kids,319,26.517040731504572
enoughfood,319,26.517040731504572
wmi,319,26.517040731504572
fri,319,26.517040731504572
sdq_emo,318,26.433915211970078
sdq_pro,318,26.433915211970078
employed_mo,318,26.433915211970078
depindex_7y,318,26.433915211970078
depindex_7y_f,318,26.433915211970078
interviewer,318,26.433915211970078
childmort,318,26.433915211970078
newid,318,26.433915211970078
sdq_peer,318,26.433915211970078
grandmother,318,26.433915211970078
intervr_5,318,26.433915211970078
intervr_4,318,26.433915211970078
intervr_3,318,26.433915211970078
intervr_2,318,26.433915211970078
home_learn,318,26.433915211970078
home_enrich,318,26.433915211970078
home_mat,318,26.433915211970078
home_emo,318,26.433915211970078
home_f_comp,318,26.433915211970078
home_f_inter,318,26.433915211970078
sdq_hyper,318,26.433915211970078
sdq_cond,318,26.433915211970078
obc,318,26.433915211970078
social_phobia,318,26.433915211970078
injury_fear,318,26.433915211970078
separation,318,26.433915211970078
panic,318,26.433915211970078
stroop,318,26.433915211970078
home,318,26.433915211970078
home_env,318,26.433915211970078
emoindex,318,26.433915211970078
emoindex_f,318,26.433915211970078
intervr_1,318,26.433915211970078
gad,318,26.433915211970078
spence,318,26.433915211970078
three_groups,318,26.433915211970078
home_res,318,26.433915211970078
sdq_sum,318,26.433915211970078
intervr_9,318,26.433915211970078
intervr_8,318,26.433915211970078
intervr_7,318,26.433915211970078
intervr_6,318,26.433915211970078
month_int,318,26.433915211970078
not_stunted,318,26.433915211970078
PPI_inconsistent,318,26.433915211970078
PPI_harsh4age,318,26.433915211970078
scid_tot,318,26.433915211970078
impaired,318,26.433915211970078
notdep,318,26.433915211970078
notdep1213,318,26.433915211970078
impaired_2,318,26.433915211970078
scid_tot_2,318,26.433915211970078
parentmoney,318,26.433915211970078
notdep1213_2,318,26.433915211970078
parentstyle_f,318,26.433915211970078
cognindex,318,26.433915211970078
parenttime,318,26.433915211970078
parentstyle,318,26.433915211970078
notdepressed,318,26.433915211970078
notunwell,318,26.433915211970078
ses,318,26.433915211970078
basicneeds,318,26.433915211970078
healthindex,318,26.433915211970078
month_int_sq,318,26.433915211970078
age,318,26.433915211970078
age_sq,318,26.433915211970078
toteduXtreat,318,26.433915211970078
mo_490_2,318,26.433915211970078
mo_491_2,318,26.433915211970078
motor,318,26.433915211970078
PPI,318,26.433915211970078
mo_488_2,318,26.433915211970078
PPI_harsh,318,26.433915211970078
mo_485_2,318,26.433915211970078
empowered,318,26.433915211970078
no_kids_postt,318,26.433915211970078
kids_boy_share,318,26.433915211970078
edu_lvl_mo_7y_4,318,26.433915211970078
no_kids_baseline,318,26.433915211970078
edu_lvl_mo_7y_2,318,26.433915211970078
edu_lvl_mo_7y_1,318,26.433915211970078
c_first_child,318,26.433915211970078
edu_lvl_mo_7y_3,318,26.433915211970078
depressed,318,26.433915211970078
mspss_tot,318,26.433915211970078
genhealth,318,26.433915211970078
mother_mh_f,318,26.433915211970078
motherfinancial_7y,318,26.433915211970078
mother_mh,318,26.433915211970078
c_ht,318,26.433915211970078
c_wt,318,26.433915211970078
mo_358,318,26.433915211970078
mo_360,318,26.433915211970078
edu_mo,318,26.433915211970078
employed_fa_baseline,313,26.01828761429759
motorcycle,300,24.93765586034913
washingmachine,300,24.93765586034913
waterpump,300,24.93765586034913
cartruck,300,24.93765586034913
wellwater,300,24.93765586034913
wellwithpump,300,24.93765586034913
aircon,300,24.93765586034913
age_baselineXtreat,300,24.93765586034913
age_baseline_sqXtreat,300,24.93765586034913
employed_mo_baselineXtreat,300,24.93765586034913
flushtoilet,300,24.93765586034913
anylatrine,300,24.93765586034913
brickwalls,300,24.93765586034913
enoughfoodmoney,300,24.93765586034913
metalroof,300,24.93765586034913
bestroof,300,24.93765586034913
wealth_baseline,300,24.93765586034913
age_baseline_sq,300,24.93765586034913
wealth_baseline_4sum,300,24.93765586034913
attrit2,300,24.93765586034913
abortion,300,24.93765586034913
maternalgma,300,24.93765586034913
MIL,300,24.93765586034913
grandmother_baselineXtreat,300,24.93765586034913
MILXtreat,300,24.93765586034913
wealth_baselineXtreat,300,24.93765586034913
stillbirth,300,24.93765586034913
childdeath,300,24.93765586034913
motherdeath,300,24.93765586034913
refused,300,24.93765586034913
moved,300,24.93765586034913
edu_lvl_mo_1Xtreat,300,24.93765586034913
mo_empXtreat,300,24.93765586034913
hamd_baselineXtreat,300,24.93765586034913
kids_noXtreat,300,24.93765586034913
edu_lvl_mo_3Xtreat,300,24.93765586034913
edu_mo_baselineXtreat,300,24.93765586034913
edu_lvl_mo_2Xtreat,300,24.93765586034913
pipedwater,300,24.93765586034913
mo_bmi,300,24.93765586034913
hamd_baseline,300,24.93765586034913
edu_fa_baseline,300,24.93765586034913
kids_no,300,24.93765586034913
var29,300,24.93765586034913
grandmother_baseline,300,24.93765586034913
mspss_baselineXtreat,300,24.93765586034913
edu_fa_baselineXtreat,300,24.93765586034913
edu_lvl_mo_3,300,24.93765586034913
famstruct_baseline,300,24.93765586034913
employed_mo_baseline,300,24.93765586034913
edu_lvl_mo_1,300,24.93765586034913
ses_bl_flipped,300,24.93765586034913
edu_lvl_mo_2,300,24.93765586034913
radio,300,24.93765586034913
electricity,300,24.93765586034913
femshare,300,24.93765586034913
age_baseline,300,24.93765586034913
tv,300,24.93765586034913
fridge,300,24.93765586034913
bicycle,300,24.93765586034913
depindex_0_f,300,24.93765586034913
edu_parents,300,24.93765586034913
mo_emp,300,24.93765586034913
gaf_baseline,300,24.93765586034913
grandmaXtreat,300,24.93765586034913
